PID	Status	Label
1199	0	com.apple.SafariNotificationAgent
-	0	com.apple.coredatad
653	0	com.apple.remindd
-	0	com.apple.appsleep
591	0	com.apple.coreservices.useractivityd
-	0	com.apple.screencaptureui.agent
-	0	com.apple.cvmsCompAgent3600_x86_64_1
-	0	com.apple.netauth.user.auth
-	0	com.apple.siri-distributed-evaluation
583	0	com.apple.ViewBridgeAuxiliary
-	0	com.apple.mbbackgrounduseragent
-	0	com.apple.cvmsCompAgent_x86_64
508	0	com.apple.lsd
621	0	com.apple.siri.context.service
535	0	com.apple.pluginkit.pkd
-	0	com.apple.security.XPCTimeStampingService
-	0	com.apple.webkit.webpushd
1275	0	com.apple.weatherd
553	0	com.apple.cache_delete
-	0	com.apple.symptomsd-diag.agent
545	0	com.apple.AMPDeviceDiscoveryAgent
-	0	com.apple.accessibility.dfrhud
-	0	com.apple.CallHistorySyncHelper
985	0	com.apple.colorsync.useragent
1476	0	com.apple.appleaccountd
701	0	com.apple.parsecd
-	0	com.apple.mlruntimed
515	0	com.apple.Dock.agent
714	0	com.apple.parsec-fbf
534	0	com.apple.dmd
576	0	com.apple.transparencyd
536	0	com.apple.AppSSOAgent
-	0	com.apple.mbuseragent
-	0	com.apple.security.cloudkeychainproxy3
499	0	com.apple.UserEventAgent-Aqua
586	0	com.apple.followupd
530	0	com.apple.identityservicesd
543	0	com.apple.telephonyutilities.callservicesd
-	0	com.apple.DwellControl
-	0	com.apple.XProtect.agent.scan
-	0	com.apple.storekitagent
3479	0	com.apple.security.DiskUnmountWatcher
547	0	com.apple.CoreLocationAgent
-	0	com.apple.StorageManagement.Service
941	0	com.apple.SecureBackupDaemon
-	0	com.apple.security.agent
-	0	com.apple.backgroundtaskmanagement.agent
1449	0	com.apple.businessservicesd
-	0	com.apple.cfnetwork.AuthBrokerAgent
956	0	com.apple.storedownloadd
-	0	com.apple.SpacesTouchBarAgent.app
649	0	com.apple.BTServer.cloudpairing
650	0	com.realvnc.vncserver.peruser
542	0	com.apple.coreservices.sharedfilelistd
507	0	com.apple.pboard
-	0	com.apple.nowplayingtouchui
-	0	com.apple.MobileAccessoryUpdater.fudHelperAgent
2502	0	com.apple.reversetemplated
-	0	com.apple.BTServer.le.agent
-	0	com.apple.AskPermissionUI
-	0	com.apple.thermaltrap
539	0	com.apple.rapportd
838	0	com.apple.SoftwareUpdateNotificationManager
-	0	com.apple.DistributionKit.DistributionHelper
-	0	com.apple.accounts.dom
665	0	com.apple.TextInputUI.xpc.CursorUIViewService
-	0	com.apple.metadata.mdflagwriter
1251	0	com.apple.DictionaryServiceHelper
-	0	com.apple.mdworker.shared
-	0	com.apple.mdworker.single.x86_64
-	0	com.apple.usermanagerhelper
-	0	com.apple.installandsetup.migrationhelper.user
528	0	com.apple.containermanagerd
613	0	com.apple.SafeEjectGPUService
603	0	com.apple.imdpersistence.IMDPersistenceAgent
-	0	com.apple.TrustEvaluationAgent
1811	0	com.apple.mlhostd
-	0	com.apple.preference.displays.MirrorDisplays
